time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
2.82065,42.5309,12.8871,0,-50.5452,22.4439,0,-105.959,16.8429,0,0.00372096,0.99941,0.999017,132.477,1.86951,0,2384,2,4.1041e-314,0.993948
2.82065,42.5087,12.9149,0,-50.5927,22.3452,0,-106.411,16.712,0,0.00372096,0.99829,0.997152,137.658,1.87055,1,2390,2,4.1041e-314,1.00021
2.82065,42.5691,12.8597,0,-50.4893,22.5234,0,-105.847,16.9702,0,0.00372096,0.997733,0.996224,124.343,1.87108,2,2394,2,4.1041e-314,0.988163
2.82065,42.453,12.8984,0,-50.591,22.5063,0,-105.679,17.2733,0,0.00372096,0.997328,0.995551,145.123,1.87146,3,2397,2,4.1041e-314,0.990767
2.82065,42.4338,12.9265,0,-50.6366,22.3972,0,-105.638,16.7998,0,0.00372096,0.997001,0.995007,148.839,1.87176,4,2390,2,4.1041e-314,0.99635
2.82065,42.5443,12.9254,0,-50.5891,22.2476,0,-105.965,16.5134,0,0.00372096,0.99672,0.994539,132.541,1.87203,5,2392,2,4.1041e-314,0.999319
2.82065,42.3626,12.94,0,-50.6777,22.4358,0,-106.315,16.8333,0,0.00372096,0.996478,0.994137,155.326,1.87225,6,2395,2,4.1041e-314,0.993214
2.82065,42.4344,12.9501,0,-50.6758,22.2716,0,-105.48,16.2771,0,0.00372096,0.996256,0.993768,150.81,1.87246,7,2391,2,4.1041e-314,0.998289
2.82065,42.5708,12.9464,0,-50.6001,22.123,0,-105.917,16.1692,0,0.00372096,0.996046,0.993419,128.201,1.87266,8,2385,2,4.1041e-314,0.986677
2.82065,42.5262,12.8527,0,-50.5002,22.6152,0,-105.846,16.9482,0,0.00372096,0.995858,0.993106,132.116,1.87284,9,2396,2,4.1041e-314,0.983469
2.82065,42.6225,12.911,0,-50.5359,22.2039,0,-105.409,16.6749,0,0.00372096,0.995674,0.9928,117.857,1.87301,10,2389,2,4.1041e-314,0.994261
2.82065,42.5892,12.8209,0,-50.4229,22.6838,0,-105.555,17.1122,0,0.00372096,0.995502,0.992515,118.632,1.87317,11,2394,2,4.1041e-314,0.97974
2.82065,42.6418,12.8307,0,-50.409,22.5625,0,-105.297,17.0822,0,0.00372096,0.995335,0.992237,109.099,1.87333,12,2395,2,4.1041e-314,0.985197
