time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
0.0,0.04075,-0.0236896,0,0,0,0,0.071309,0.13729,nan,0.00372096,0.99941,0.999017,1.49941,0.467377,0,184,2,3.02513e-314,0.999111
0.0,0.0342564,0.0375437,0,0,0,0,0.236406,0.223482,nan,0.00372096,0.99829,0.997152,1.49829,0.467639,1,179,2,3.02513e-314,0.9987
0.0,0.0613703,-0.076941,0,0,0,0,0.264732,0.112667,nan,0.00372096,0.997733,0.996224,1.49773,0.467769,2,184,2,3.02513e-314,0.997922
0.0,-0.0249264,-0.0356439,0,0,0,0,0.158411,0.0320457,nan,0.00372096,0.997328,0.995551,1.49733,0.467864,3,184,2,3.02513e-314,0.997999
0.0,-0.0275595,0.0293098,0,0,0,0,0.0710618,0.0215423,nan,0.00372096,0.997001,0.995007,1.497,0.467941,4,188,2,3.02513e-314,0.99808
0.0,0.0720524,0.0822546,0,0,0,0,0.13854,0.427852,nan,0.00372096,0.99672,0.994539,1.49672,0.468007,5,177,2,3.02513e-314,0.997636
0.0,-0.0848016,0.0301406,0,0,0,0,-0.0362212,0.298554,nan,0.00372096,0.996478,0.994137,1.49648,0.468064,6,187,2,3.02513e-314,0.99693
0.0,-0.0129213,0.0951218,0,0,0,0,0.0606108,0.0863355,nan,0.00372096,0.996256,0.993768,1.49625,0.468116,7,191,2,3.02513e-314,0.996843
0.0,0.104306,0.145799,0,0,0,0,0.355222,0.305196,nan,0.00372096,0.996046,0.993419,1.49604,0.468165,8,177,2,3.02513e-314,0.996108
0.0,0.0183917,-0.116476,0,0,0,0,0.259016,0.117001,nan,0.00372096,0.995858,0.993106,1.49585,0.468209,9,179,2,3.02513e-314,0.996911
0.0,0.134339,0.0830918,0,0,0,0,0.275892,0.155267,nan,0.00372096,0.995674,0.9928,1.49567,0.468253,10,180,2,3.02513e-314,0.997093
0.0,0.0580573,-0.169717,0,0,0,0,0.285226,-0.0396367,nan,0.00372096,0.995502,0.992515,1.4955,0.468293,11,174,2,3.02513e-314,0.99573
0.0,0.11113,-0.116572,0,0,0,0,0.255347,-0.0518072,nan,0.00372096,0.995335,0.992237,1.49533,0.468332,12,177,2,3.02513e-314,0.996551
0.0,0.104272,0.0132712,0,0,0,0,0.150851,0.289891,nan,0.00372096,0.995176,0.991973,1.49517,0.46837,13,181,2,3.02513e-314,0.998
0.0,0.125186,-0.0517712,0,0,0,0,0.103236,0.158458,nan,0.00372096,0.99502,0.991714,1.49502,0.468406,14,180,2,3.02513e-314,0.997209
0.0,-0.0392217,-0.104886,0,0,0,0,0.00447959,-0.097813,nan,0.00372096,0.994872,0.991468,1.49487,0.468441,15,183,2,3.02513e-314,0.996292
0.0,-0.0831015,-0.0679385,0,0,0,0,0.177381,0.39692,nan,0.00372096,0.994724,0.991222,1.49472,0.468476,16,184,2,3.02513e-314,0.996517
0.0,0.168462,0.00280145,0,0,0,0,0.168825,0.220405,nan,0.00372096,0.994584,0.990989,1.49458,0.468509,17,181,2,3.02513e-314,0.996704
0.0,0.189573,0.0658096,0,0,0,0,0.389662,0.268996,nan,0.00372096,0.994444,0.990757,1.49444,0.468542,18,181,2,3.02513e-314,0.996085
0.0,-0.121268,-0.0140364,0,0,0,0,-0.0548418,0.0967009,nan,0.00372096,0.994308,0.990531,1.4943,0.468574,19,185,2,3.02513e-314,0.996234
0.0,-0.0842559,0.0970188,0,0,0,0,0.16902,0.342164,nan,0.00372096,0.994175,0.99031,1.49417,0.468606,20,197,2,3.02513e-314,0.996353
0.0,0.222615,0.120341,0,0,0,0,0.457311,0.330567,nan,0.00372096,0.994042,0.990089,1.49404,0.468637,21,179,2,3.02513e-314,0.995079
0.0,0.187352,-0.0632689,0,0,0,0,0.0888992,0.165179,nan,0.00372096,0.993914,0.989877,1.49391,0.468667,22,176,2,3.02513e-314,0.995803
0.0,0.0347083,0.141658,0,0,0,0,0.131254,0.237353,nan,0.00372096,0.993787,0.989666,1.49378,0.468697,23,187,2,3.02513e-314,0.996023
0.0,0.229727,0.184314,0,0,0,0,0.325933,0.411273,nan,0.00372096,0.99366,0.989455,1.49365,0.468727,24,180,2,3.02513e-314,0.994194
0.0,-0.0776102,-0.162944,0,0,0,0,0.0692734,0.0911649,nan,0.00372096,0.993537,0.989252,1.49353,0.468756,25,183,2,3.02513e-314,0.995462
0.0,-0.0352556,0.155471,0,0,0,0,0.199576,0.295554,nan,0.00372096,0.993415,0.989049,1.49341,0.468785,26,202,2,3.02513e-314,0.995849
0.0,0.252888,-0.0439375,0,0,0,0,0.289918,0.0561303,nan,0.00372096,0.993293,0.988847,1.49329,0.468814,27,177,2,3.02513e-314,0.994226
0.0,-0.181945,0.00856139,0,0,0,0,-0.052515,0.145842,nan,0.00372096,0.993174,0.98865,1.49317,0.468841,28,192,2,3.02513e-314,0.995475
0.0,0.153562,-0.156679,0,0,0,0,0.434874,0.0841286,nan,0.00372096,0.993056,0.988453,1.49305,0.468869,29,170,2,3.02513e-314,0.995268
0.0,-0.0116526,-0.178024,0,0,0,0,0.169698,0.133685,nan,0.00372096,0.992937,0.988257,1.49293,0.468897,30,174,2,3.02513e-314,0.995531
0.0,-0.145617,0.0659147,0,0,0,0,0.0319427,0.236661,nan,0.00372096,0.992822,0.988066,1.49281,0.468925,31,188,2,3.02513e-314,0.995954
0.0,0.236874,0.0130974,0,0,0,0,0.24164,0.0554598,nan,0.00372096,0.992707,0.987875,1.4927,0.468952,32,184,2,3.02513e-314,0.994946
0.0,0.20658,-0.118196,0,0,0,0,0.374743,0.123829,nan,0.00372096,0.992592,0.987684,1.49258,0.468979,33,177,2,3.02513e-314,0.994594
0.0,-0.144567,-0.0816543,0,0,0,0,0.0320635,-0.0262808,nan,0.00372096,0.992479,0.987497,1.49247,0.469006,34,178,2,3.02513e-314,0.995468
0.0,-0.0917965,0.173123,0,0,0,0,0.153428,0.505555,nan,0.00372096,0.992367,0.987311,1.49236,0.469032,35,201,2,3.02513e-314,0.995395
0.0,0.268881,0.0630553,0,0,0,0,0.242955,0.171212,nan,0.00372096,0.992255,0.987125,1.49224,0.469059,36,181,2,3.02513e-314,0.99386
0.0,0.073087,0.201366,0,0,0,0,0.216582,0.267626,nan,0.00372096,0.992143,0.98694,1.49213,0.469085,37,184,2,3.02513e-314,0.995215
0.0,0.00433507,0.20808,0,0,0,0,0.221878,0.343584,nan,0.00372096,0.992034,0.986758,1.49202,0.469111,38,186,2,3.02513e-314,0.995045
0.0,-0.0601212,-0.226525,0,0,0,0,0.160792,-0.0897331,nan,0.00372096,0.991924,0.986576,1.49191,0.469137,39,180,2,3.02513e-314,0.994601
0.0,-0.134701,-0.138357,0,0,0,0,-0.0365274,0.0831456,nan,0.00372096,0.991814,0.986395,1.4918,0.469163,40,185,2,3.02513e-314,0.995259
0.0,0.11121,-0.202997,0,0,0,0,0.36708,-0.0308997,nan,0.00372096,0.991706,0.986216,1.49169,0.469188,41,170,2,3.02513e-314,0.994916
0.0,0.166845,0.15527,0,0,0,0,0.369197,0.211451,nan,0.00372096,0.991599,0.986038,1.49159,0.469214,42,183,2,3.02513e-314,0.995532
0.0,-0.141992,0.141225,0,0,0,0,0.214093,0.194589,nan,0.00372096,0.991492,0.98586,1.49148,0.469239,43,199,2,3.02513e-314,0.995527
0.0,0.144954,0.216027,0,0,0,0,0.22413,0.310127,nan,0.00372096,0.991384,0.985682,1.49137,0.469265,44,190,2,3.02513e-314,0.99487
0.0,0.0728866,-0.251579,0,0,0,0,0.13556,-0.0268359,nan,0.00372096,0.991279,0.985507,1.49127,0.46929,45,175,2,3.02513e-314,0.994351
0.0,-0.195957,0.121691,0,0,0,0,0.0354619,0.475012,nan,0.00372096,0.991173,0.985332,1.49116,0.469315,46,195,2,3.02513e-314,0.995062
0.0,0.0777909,0.260826,0,0,0,0,0.17875,0.353947,nan,0.00372096,0.991068,0.985157,1.49105,0.46934,47,188,2,3.02513e-314,0.994534
0.0,-0.19601,-0.0602401,0,0,0,0,-0.0441821,0.218369,nan,0.00372096,0.990962,0.984982,1.49095,0.469365,48,180,2,3.02513e-314,0.995005
0.0,0.296878,0.11607,0,0,0,0,0.553667,0.145866,nan,0.00372096,0.990858,0.984811,1.49084,0.469389,49,179,2,3.02513e-314,0.993007
0.0,0.1868,-0.220366,0,0,0,0,0.233984,-0.186581,nan,0.00372096,0.990755,0.984639,1.49074,0.469414,50,172,2,3.02513e-314,0.993947
0.0,-0.220918,0.0652494,0,0,0,0,0.117219,0.231049,nan,0.00372096,0.990651,0.984467,1.49064,0.469438,51,191,2,3.02513e-314,0.994816
0.0,-0.180563,0.200383,0,0,0,0,0.00358696,0.259,nan,0.00372096,0.990547,0.984295,1.49053,0.469463,52,198,2,3.02513e-314,0.99472
0.0,0.228618,-0.176637,0,0,0,0,0.269799,-0.159715,nan,0.00372096,0.990445,0.984126,1.49043,0.469487,53,172,2,3.02513e-314,0.993543
0.0,0.0111083,-0.235344,0,0,0,0,0.126916,0.0777087,nan,0.00372096,0.990343,0.983956,1.49033,0.469511,54,174,2,3.02513e-314,0.994877
0.0,-0.120511,0.231079,0,0,0,0,-0.0178861,0.361646,nan,0.00372096,0.99024,0.983787,1.49022,0.469536,55,196,2,3.02513e-314,0.994877
0.0,-0.235543,-0.115421,0,0,0,0,-0.00586187,0.0416085,nan,0.00372096,0.990138,0.983618,1.49012,0.46956,56,188,2,3.02513e-314,0.994211
0.0,-0.257016,0.0174399,0,0,0,0,-0.01764,0.181133,nan,0.00372096,0.990037,0.98345,1.49002,0.469584,57,192,2,3.02513e-314,0.994087
0.0,0.275574,-0.0984195,0,0,0,0,0.191325,-0.0767118,nan,0.00372096,0.989936,0.983283,1.48992,0.469608,58,173,2,3.02513e-314,0.993427
0.0,0.140092,-0.269889,0,0,0,0,0.168844,-0.123188,nan,0.00372096,0.989835,0.983116,1.48982,0.469632,59,176,2,3.02513e-314,0.993654
0.0,0.071881,-0.315204,0,0,0,0,0.171367,-0.155077,nan,0.00372096,0.989734,0.982949,1.48972,0.469656,60,172,2,3.02513e-314,0.993273
0.0,-0.253026,-0.042718,0,0,0,0,-0.180562,0.0165846,nan,0.00372096,0.989634,0.982783,1.48962,0.469679,61,192,2,3.02513e-314,0.993916
0.0,-0.201368,-0.161745,0,0,0,0,0.192782,0.0133246,nan,0.00372096,0.989534,0.982618,1.48952,0.469703,62,185,2,3.02513e-314,0.994781
0.0,0.313572,-0.0221887,0,0,0,0,0.280162,0.139591,nan,0.00372096,0.989435,0.982453,1.48942,0.469727,63,170,2,3.02513e-314,0.992956
0.0,-0.142573,-0.199319,0,0,0,0,0.436329,-0.198354,nan,0.00372096,0.989335,0.982288,1.48932,0.46975,64,184,2,3.02513e-314,0.994662
0.0,0.0130033,0.27326,0,0,0,0,0.168203,0.441999,nan,0.00372096,0.989235,0.982123,1.48922,0.469774,65,188,2,3.02513e-314,0.994363
0.0,-0.0531983,0.238734,0,0,0,0,0.176979,0.406542,nan,0.00372096,0.989136,0.98196,1.48912,0.469798,66,188,2,3.02513e-314,0.994775
0.0,0.207153,0.242799,0,0,0,0,0.219051,0.389097,nan,0.00372096,0.989038,0.981797,1.48902,0.469821,67,181,2,3.02513e-314,0.993584
0.0,0.32884,0.0426139,0,0,0,0,0.354356,0.168229,nan,0.00372096,0.988939,0.981634,1.48892,0.469844,68,177,2,3.02513e-314,0.992369
0.0,-0.258824,0.134413,0,0,0,0,-0.030467,0.0376291,nan,0.00372096,0.988841,0.981471,1.48882,0.469868,69,201,2,3.02513e-314,0.994178
0.0,-0.246568,0.191006,0,0,0,0,-0.231838,0.237265,nan,0.00372096,0.988742,0.981308,1.48872,0.469891,70,196,2,3.02513e-314,0.993779
0.0,-0.0972258,0.29487,0,0,0,0,-0.0297849,0.35488,nan,0.00372096,0.988645,0.981146,1.48862,0.469914,71,189,2,3.02513e-314,0.994185
0.0,0.376715,0.0841588,0,0,0,0,0.360698,0.275079,nan,0.00372096,0.988547,0.980985,1.48853,0.469938,72,176,2,3.02513e-314,0.990969
0.0,0.143125,0.28303,0,0,0,0,0.179427,0.417214,nan,0.00372096,0.98845,0.980823,1.48843,0.469961,73,185,2,3.02513e-314,0.993959
0.0,0.00445866,-0.295345,0,0,0,0,0.181278,-0.0194614,nan,0.00372096,0.988352,0.980662,1.48833,0.469984,74,186,2,3.02513e-314,0.993924
0.0,0.134194,-0.335812,0,0,0,0,0.240131,-0.100696,nan,0.00372096,0.988255,0.980501,1.48823,0.470007,75,171,2,3.02513e-314,0.992177
0.0,-0.216797,-0.2294,0,0,0,0,-0.0355265,0.280145,nan,0.00372096,0.988158,0.980341,1.48813,0.47003,76,181,2,3.02513e-314,0.993977
0.0,0.322482,-0.130523,0,0,0,0,0.485089,0.139804,nan,0.00372096,0.988061,0.980181,1.48804,0.470053,77,174,2,3.02513e-314,0.992441
0.0,-0.164967,-0.259755,0,0,0,0,-0.269641,-0.163494,nan,0.00372096,0.987965,0.980022,1.48794,0.470076,78,182,2,3.02513e-314,0.994234
0.0,0.283768,-0.183617,0,0,0,0,0.426351,0.0746787,nan,0.00372096,0.987868,0.979862,1.48784,0.470099,79,173,2,3.02513e-314,0.992888
0.0,0.208156,-0.28197,0,0,0,0,0.358552,-0.214847,nan,0.00372096,0.987771,0.979702,1.48775,0.470122,80,172,2,3.02513e-314,0.992598
0.0,-0.297937,0.0809014,0,0,0,0,-0.112567,0.162896,nan,0.00372096,0.987675,0.979544,1.48765,0.470145,81,197,2,3.02513e-314,0.993441
0.0,0.299958,0.175212,0,0,0,0,0.231222,0.261262,nan,0.00372096,0.98758,0.979385,1.48755,0.470168,82,175,2,3.02513e-314,0.992544
0.0,-0.172851,0.26991,0,0,0,0,-0.119015,0.403997,nan,0.00372096,0.987484,0.979227,1.48746,0.47019,83,199,2,3.02513e-314,0.993812
0.0,-0.103551,-0.267871,0,0,0,0,-0.0532379,-0.131986,nan,0.00372096,0.987388,0.979069,1.48736,0.470213,84,182,2,3.02513e-314,0.994137
0.0,-0.159631,-0.3187,0,0,0,0,0.016646,-0.211226,nan,0.00372096,0.987292,0.97891,1.48727,0.470236,85,181,2,3.02513e-314,0.993229
0.0,-0.269999,-0.182529,0,0,0,0,-0.0290684,0.0779174,nan,0.00372096,0.987197,0.978753,1.48717,0.470259,86,179,2,3.02513e-314,0.99327
0.0,-0.0376272,0.314427,0,0,0,0,-0.0163165,0.40627,nan,0.00372096,0.987102,0.978596,1.48707,0.470281,87,195,2,3.02513e-314,0.994041
