time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh
0,0.00630875,-0.0209544,0,0,0,0,0,0,0,0.00310059,0.999333,0.998888,1.49933,4.81221e+233,0,83886081,3.01293e-314,2.1026e-297
0,0.0155564,0.0350002,0,0,0,0,0,0,0,0.00310059,0.997724,0.99621,1.49772,4.81221e+233,1,83886081,3.01293e-314,2.1026e-297
0,0.0092125,-0.0488082,0,0,0,0,0,0,0,0.00310059,0.996891,0.994824,1.49689,4.81221e+233,2,83886081,3.01293e-314,2.1026e-297
0,-0.0481917,-0.0335766,0,0,0,0,0,0,0,0.00310059,0.996319,0.993872,1.49632,4.81221e+233,3,83886081,3.01293e-314,2.1026e-297
0,-0.0627394,0.0222174,0,0,0,0,0,0,0,0.00310059,0.995862,0.993113,1.49586,4.81221e+233,4,83886081,3.01293e-314,2.1026e-297
0,0.0595758,0.04327,0,0,0,0,0,0,0,0.00310059,0.995468,0.992458,1.49546,4.81221e+233,5,83886081,3.01293e-314,2.1026e-297
0,-0.0776054,0.0203166,0,0,0,0,0,0,0,0.00310059,0.995112,0.991867,1.49511,4.81221e+233,6,83886081,3.01293e-314,2.1026e-297
0,-0.0431975,0.0744144,0,0,0,0,0,0,0,0.00310059,0.99481,0.991365,1.49481,4.81221e+233,7,83886081,3.01293e-314,2.1026e-297
0,0.0571642,0.0716905,0,0,0,0,0,0,0,0.00310059,0.994519,0.990881,1.49451,4.81221e+233,8,83886081,3.01293e-314,2.1026e-297
0,-0.0565206,-0.0787142,0,0,0,0,0,0,0,0.00310059,0.994255,0.990443,1.49425,4.81221e+233,9,83886081,3.01293e-314,2.1026e-297
