pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,mass,dens,pres,ene,sml,id
-2.45758,-0.441104,0,0,0,0,0.791139,7.5512,2184.17,433.873,0.388418,0
-2.37196,-0.304097,0,0,0,0,0.791139,11.0853,4141.66,560.424,0.320578,1
-2.32888,-0.179145,0,0,0,0,0.791139,13.1654,5516.32,628.503,0.294165,2
-2.30991,-0.0592286,0,0,0,0,0.791139,14.1512,6221.81,659.499,0.283734,3
-2.30991,0.0592286,0,0,0,0,0.791139,14.1512,6221.81,659.499,0.283734,4
-2.32888,0.179145,0,0,0,0,0.791139,13.1654,5516.32,628.503,0.294165,5
-2.37196,0.304097,0,0,0,0,0.791139,11.0853,4141.66,560.424,0.320578,6
-2.45758,0.441104,0,0,0,0,0.791139,7.5512,2184.17,433.873,0.388418,7
-2.48652,-1.00805,0,0,0,0,0.791139,2.71859,397.955,219.574,0.647345,8
-2.22896,-0.783148,0,0,0,0,0.791139,12.1456,4822.7,595.612,0.306266,9
-2.13049,-0.633388,0,0,0,0,0.791139,17.8375,9151.35,769.558,0.25272,10
-2.07041,-0.503613,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,11
-2.0305,-0.384148,0,0,0,0,0.791139,25.2005,16278.3,968.927,0.21262,12
-2.00394,-0.270803,0,0,0,0,0.791139,27.4725,18797.1,1026.32,0.203638,13
-1.98754,-0.161152,0,0,0,0,0.791139,28.9501,20512.1,1062.8,0.198373,14
-1.97968,-0.0535048,0,0,0,0,0.791139,29.6791,21380.2,1080.57,0.195922,15
-1.97968,0.0535048,0,0,0,0,0.791139,29.6791,21380.2,1080.57,0.195922,16
-1.98754,0.161152,0,0,0,0,0.791139,28.9501,20512.1,1062.8,0.198373,17
-2.00394,0.270803,0,0,0,0,0.791139,27.4725,18797.1,1026.32,0.203638,18
-2.0305,0.384148,0,0,0,0,0.791139,25.2005,16278.3,968.927,0.21262,19
-2.07041,0.503613,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,20
-2.13049,0.633388,0,0,0,0,0.791139,17.8375,9151.35,769.558,0.25272,21
-2.22896,0.783148,0,0,0,0,0.791139,12.1456,4822.7,595.612,0.306266,22
-2.48652,1.00805,0,0,0,0,0.791139,2.71859,397.955,219.574,0.647345,23
-2.28529,-1.24059,0,0,0,0,0.791139,4.63393,967.927,313.317,0.49583,24
-2.05718,-0.999203,0,0,0,0,0.791139,15.1079,6938.5,688.896,0.274604,25
-1.9585,-0.839355,0,0,0,0,0.791139,22.0472,13027.1,886.313,0.227317,26
-1.89562,-0.704088,0,0,0,0,0.791139,27.4725,18797.1,1026.32,0.203638,27
-1.85151,-0.581903,0,0,0,0,0.791139,31.8302,24024.8,1132.17,0.189186,28
-1.81951,-0.467873,0,0,0,0,0.791139,35.3118,28562.3,1213.29,0.179617,29
-1.79632,-0.359264,0,0,0,0,0.791139,38.0181,32303,1274.51,0.173106,30
-1.7801,-0.2543,0,0,0,0,0.791139,40.0085,35170.7,1318.62,0.168745,31
-1.76978,-0.151696,0,0,0,0,0.791139,41.3185,37110.8,1347.25,0.166049,32
-1.76476,-0.0504217,0,0,0,0,0.791139,41.9689,38089.6,1361.35,0.164757,33
-1.76476,0.0504217,0,0,0,0,0.791139,41.9689,38089.6,1361.35,0.164757,34
