time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
2.079440e-01,-4.983908e-01,2.723764e-03,6.010761e-03,2.500000e-03,5.152703e-01,5.152708e-01,2.500007e+00,1.456320e-01,0,59,1.000000e+00,-1.714538e-04,0.000000e+00,0
2.079440e-01,-4.958343e-01,3.087779e-03,6.177090e-03,2.500000e-03,5.406411e-01,5.406416e-01,2.500008e+00,1.388126e-01,1,57,1.000000e+00,-4.862909e-04,8.145860e-01,0
2.079440e-01,-4.932844e-01,3.403308e-03,6.234092e-03,2.500000e-03,5.683748e-01,5.683753e-01,2.500007e+00,1.320533e-01,2,56,1.000000e+00,-8.258169e-04,8.169139e-01,0
2.079440e-01,-4.907425e-01,3.661451e-03,6.178036e-03,2.500000e-03,5.985905e-01,5.985910e-01,2.500007e+00,1.254007e-01,3,54,1.000000e+00,-1.185161e-03,8.196693e-01,0
2.079440e-01,-4.882113e-01,3.846949e-03,5.998000e-03,2.500000e-03,6.312922e-01,6.312927e-01,2.500005e+00,1.189164e-01,4,52,1.000000e+00,-1.554584e-03,8.229480e-01,0
2.079440e-01,-4.856947e-01,3.934217e-03,5.693962e-03,2.500000e-03,6.662971e-01,6.662977e-01,2.500003e+00,1.126780e-01,5,51,1.000000e+00,-1.917686e-03,8.268576e-01,0
2.079440e-01,-4.831974e-01,3.889052e-03,5.217165e-03,2.500000e-03,7.031599e-01,7.031604e-01,2.500000e+00,1.067764e-01,6,49,1.000000e+00,-2.250126e-03,8.315113e-01,0
2.079440e-01,-4.807242e-01,3.677976e-03,4.556807e-03,2.500000e-03,7.411260e-01,7.411266e-01,2.499997e+00,1.013079e-01,7,48,1.000000e+00,-2.522362e-03,8.370150e-01,0
2.079440e-01,-4.782764e-01,3.293701e-03,3.806157e-03,2.500000e-03,7.791789e-01,7.791795e-01,2.499994e+00,9.635782e-02,8,47,1.000000e+00,-2.704852e-03,8.434497e-01,0
2.079440e-01,-4.758502e-01,2.770450e-03,3.083451e-03,2.500000e-03,8.161614e-01,8.161620e-01,2.499991e+00,9.198670e-02,9,46,1.000000e+00,-2.776158e-03,8.508548e-01,0
2.079440e-01,-4.734372e-01,2.173173e-03,2.478901e-03,2.500000e-03,8.509321e-01,8.509327e-01,2.499989e+00,8.822251e-02,10,46,1.000000e+00,-2.729710e-03,8.592143e-01,0
2.079440e-01,-4.710283e-01,1.556252e-03,1.901654e-03,2.500000e-03,8.824876e-01,8.824883e-01,2.499988e+00,8.506316e-02,11,46,1.000000e+00,-2.576289e-03,8.684455e-01,0
2.079440e-01,-4.686157e-01,9.724056e-04,1.411751e-03,2.500000e-03,9.101090e-01,9.101097e-01,2.499989e+00,8.247807e-02,12,46,1.000000e+00,-2.341609e-03,8.783980e-01,0
2.079440e-01,-4.661935e-01,4.596190e-04,9.958308e-04,2.500000e-03,9.334456e-01,9.334464e-01,2.499991e+00,8.041383e-02,13,46,1.000000e+00,-2.057352e-03,8.888654e-01,0
2.079440e-01,-4.637588e-01,3.307263e-05,6.361752e-04,2.500000e-03,9.525005e-01,9.525015e-01,2.499994e+00,7.880360e-02,14,46,1.000000e+00,-1.756076e-03,8.996081e-01,0
2.079440e-01,-4.613118e-01,-3.112807e-04,3.233795e-04,2.500000e-03,9.675740e-01,9.675751e-01,2.499998e+00,7.757459e-02,15,47,1.000000e+00,-1.464492e-03,9.103796e-01,0
2.079440e-01,-4.588547e-01,-5.893178e-04,4.820222e-05,2.500000e-03,9.791764e-01,9.791777e-01,2.500002e+00,7.665379e-02,16,47,1.000000e+00,-1.202150e-03,9.209525e-01,0
2.079440e-01,-4.563900e-01,-8.194937e-04,-1.967618e-04,2.500000e-03,9.878896e-01,9.878911e-01,2.500005e+00,7.597560e-02,17,48,1.000000e+00,-9.725850e-04,9.311351e-01,0
2.079440e-01,-4.539198e-01,-1.015608e-03,-4.176590e-04,2.500000e-03,9.942426e-01,9.942442e-01,2.500008e+00,7.548748e-02,18,49,1.000000e+00,-7.737624e-04,9.407741e-01,0
2.079440e-01,-4.514455e-01,-1.187009e-03,-6.082153e-04,2.500000e-03,9.986955e-01,9.986973e-01,2.500010e+00,7.514770e-02,19,49,1.000000e+00,-6.032745e-04,9.497529e-01,0
2.079440e-01,-4.489679e-01,-1.339878e-03,-7.636030e-04,2.500000e-03,1.001641e+00,1.001643e+00,2.500012e+00,7.492305e-02,20,50,1.000000e+00,-4.586608e-04,9.579888e-01,0
2.079440e-01,-4.464875e-01,-1.478764e-03,-9.124250e-04,2.500000e-03,1.003409e+00,1.003411e+00,2.500014e+00,7.478693e-02,21,51,1.000000e+00,-3.374897e-04,9.654298e-01,0
2.079440e-01,-4.440046e-01,-1.606241e-03,-1.026030e-03,2.500000e-03,1.004276e+00,1.004279e+00,2.500014e+00,7.471788e-02,22,52,1.000000e+00,-2.375031e-04,9.720511e-01,0
2.079440e-01,-4.415192e-01,-1.722992e-03,-1.162115e-03,2.500000e-03,1.004474e+00,1.004476e+00,2.500015e+00,7.469853e-02,23,53,1.000000e+00,-1.566014e-04,9.778515e-01,0
2.079440e-01,-4.390309e-01,-1.828486e-03,-1.317664e-03,2.500000e-03,1.004190e+00,1.004193e+00,2.500015e+00,7.471476e-02,24,54,1.000000e+00,-9.280012e-05,9.828505e-01,0
2.079440e-01,-4.365394e-01,-1.920259e-03,-1.513441e-03,2.500000e-03,1.003582e+00,1.003585e+00,2.500014e+00,7.475510e-02,25,55,1.000000e+00,-4.417226e-05,9.870842e-01,0
2.079440e-01,-4.340443e-01,-1.994627e-03,-1.774573e-03,2.500000e-03,1.002775e+00,1.002778e+00,2.500013e+00,7.481032e-02,26,56,1.000000e+00,-8.784389e-06,9.906026e-01,0
2.079440e-01,-4.315453e-01,-2.047145e-03,-2.100770e-03,2.500000e-03,1.001869e+00,1.001871e+00,2.500012e+00,7.487311e-02,27,57,1.000000e+00,1.537719e-05,9.934661e-01,0
2.079440e-01,-4.290419e-01,-2.073465e-03,-2.469187e-03,2.500000e-03,1.000939e+00,1.000942e+00,2.500010e+00,7.493785e-02,28,58,1.000000e+00,3.049671e-05,9.957427e-01,0
2.079440e-01,-4.265350e-01,-2.076541e-03,-2.849247e-03,2.500000e-03,1.000042e+00,1.000044e+00,2.500009e+00,7.500049e-02,29,59,1.000000e+00,3.902321e-05,9.975042e-01,0
2.079440e-01,-4.240250e-01,-2.059269e-03,-3.250530e-03,2.500000e-03,9.992111e-01,9.992134e-01,2.500007e+00,7.505852e-02,30,60,1.000000e+00,4.377625e-05,9.988238e-01,0
2.079440e-01,-4.215140e-01,-2.042112e-03,-3.782467e-03,2.500000e-03,9.984624e-01,9.984646e-01,2.500006e+00,7.511080e-02,31,60,1.000000e+00,4.708390e-05,9.997712e-01,0
2.079440e-01,-4.189985e-01,-1.991147e-03,-4.350631e-03,2.500000e-03,9.978019e-01,9.978040e-01,2.500005e+00,7.515689e-02,32,60,1.000000e+00,4.908105e-05,1.000412e+00,0
2.079440e-01,-4.164787e-01,-1.900117e-03,-4.907386e-03,2.500000e-03,9.972345e-01,9.972365e-01,2.500003e+00,7.519642e-02,33,60,1.000000e+00,4.981726e-05,1.000804e+00,0
2.079440e-01,-4.139548e-01,-1.762642e-03,-5.347880e-03,2.500000e-03,9.967633e-01,9.967651e-01,2.500002e+00,7.522918e-02,34,61,1.000000e+00,4.936805e-05,1.001000e+00,0
2.079440e-01,-4.114275e-01,-1.577093e-03,-5.504875e-03,2.500000e-03,9.963893e-01,9.963909e-01,2.500001e+00,7.525509e-02,35,61,1.000000e+00,4.783992e-05,1.001045e+00,0
2.079440e-01,-4.088985e-01,-1.352132e-03,-5.236453e-03,2.500000e-03,9.961110e-01,9.961125e-01,2.500001e+00,7.527425e-02,36,61,1.000000e+00,4.536784e-05,1.000977e+00,0
2.079440e-01,-4.063695e-01,-1.106649e-03,-4.564991e-03,2.500000e-03,9.959251e-01,9.959264e-01,2.500000e+00,7.528691e-02,37,61,1.000000e+00,4.210977e-05,1.000831e+00,0
2.079440e-01,-4.038424e-01,-8.629582e-04,-3.665262e-03,2.500000e-03,9.958259e-01,9.958270e-01,2.500000e+00,7.529349e-02,38,61,1.000000e+00,3.823472e-05,9.993656e-01,0
2.079440e-01,-4.013186e-01,-6.401118e-04,-2.702628e-03,2.500000e-03,9.958058e-01,9.958068e-01,2.500000e+00,7.529451e-02,39,61,1.000000e+00,3.390899e-05,9.995892e-01,0
