time [s],pos_x [m],pos_y [m],pos_z [m],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg]
0.0,-2.94,-0.54,-0.16,0.101215,0.00024398,9.52629e-07,0.00585681
0.0,-2.94,-0.54,-0.08,0.101215,0.00024398,9.52629e-07,0.00585681
0.0,-2.94,-0.54,-6.93889e-18,0.101215,0.00024398,9.52629e-07,0.00585681
0.0,-2.94,-0.54,0.08,0.101215,0.00024398,9.52629e-07,0.00585681
0.0,-2.94,-0.54,0.16,0.101215,0.00024398,9.52629e-07,0.00585681
0.0,-2.94,-0.42,-0.16,0.101215,0.0011207,1.20916e-05,0.016184
0.0,-2.94,-0.42,-0.08,0.101215,0.0011207,1.20916e-05,0.016184
0.0,-2.94,-0.42,-6.93889e-18,0.101215,0.0011207,1.20916e-05,0.016184
0.0,-2.94,-0.42,0.08,0.101215,0.0011207,1.20916e-05,0.016184
0.0,-2.94,-0.42,0.16,0.101215,0.0011207,1.20916e-05,0.016184
0.0,-2.94,-0.3,-0.16,0.101215,0.00202613,3.24423e-05,0.0240179
0.0,-2.94,-0.3,-0.08,0.101215,0.00202613,3.24423e-05,0.0240179
0.0,-2.94,-0.3,-6.93889e-18,0.101215,0.00202613,3.24423e-05,0.0240179
0.0,-2.94,-0.3,0.08,0.101215,0.00202613,3.24423e-05,0.0240179
0.0,-2.94,-0.3,0.16,0.101215,0.00202613,3.24423e-05,0.0240179
0.0,-2.94,-0.18,-0.16,0.101215,0.00272771,5.32512e-05,0.0292835
0.0,-2.94,-0.18,-0.08,0.101215,0.00272771,5.32512e-05,0.0292835
0.0,-2.94,-0.18,-6.93889e-18,0.101215,0.00272771,5.32512e-05,0.0292835
0.0,-2.94,-0.18,0.08,0.101215,0.00272771,5.32512e-05,0.0292835
0.0,-2.94,-0.18,0.16,0.101215,0.00272771,5.32512e-05,0.0292835
0.0,-2.94,-0.06,-0.16,0.101215,0.00310561,6.61066e-05,0.0319293
0.0,-2.94,-0.06,-0.08,0.101215,0.00310561,6.61066e-05,0.0319293
