time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
1.620603e-01,-8.248614e-01,-2.908676e+00,-6.004983e+00,2.500000e-03,1.002779e-01,7.640346e-02,2.424656e+00,7.151101e-01,0,150,1.000000e+00,1.932445e-03,0.000000e+00,0
1.620603e-01,-8.189517e-01,-2.884989e+00,-5.972648e+00,2.500000e-03,1.024386e-01,7.794734e-02,2.376416e+00,6.997591e-01,1,148,1.000000e+00,1.844572e-03,6.419547e-01,0
1.620603e-01,-8.099781e-01,-2.837265e+00,-5.915327e+00,2.500000e-03,1.059088e-01,8.041885e-02,2.296293e+00,6.766551e-01,2,144,1.000000e+00,1.710097e-03,6.434505e-01,0
1.620603e-01,-7.972542e-01,-2.758601e+00,-5.817822e+00,2.500000e-03,1.112199e-01,8.417478e-02,2.183585e+00,6.443135e-01,3,138,1.000000e+00,1.521364e-03,6.481787e-01,0
1.620603e-01,-7.802379e-01,-2.642666e+00,-5.661140e+00,2.500000e-03,1.190415e-01,8.962542e-02,2.045895e+00,6.021585e-01,4,129,1.000000e+00,1.289243e-03,6.564669e-01,0
1.620603e-01,-7.589164e-01,-2.487990e+00,-5.437729e+00,2.500000e-03,1.299343e-01,9.699586e-02,1.900112e+00,5.520888e-01,5,118,1.000000e+00,1.076911e-03,6.676683e-01,0
1.620603e-01,-7.343741e-01,-2.305621e+00,-5.193487e+00,2.500000e-03,1.436718e-01,1.058111e-01,1.767922e+00,4.998366e-01,6,106,1.000000e+00,1.006464e-03,6.797996e-01,0
1.620603e-01,-7.089596e-01,-2.122285e+00,-5.046767e+00,2.500000e-03,1.588137e-01,1.148317e-01,1.667124e+00,4.526569e-01,7,97,1.000000e+00,1.121892e-03,6.910470e-01,0
1.620603e-01,-6.852925e-01,-1.966259e+00,-5.078208e+00,2.500000e-03,1.737562e-01,1.231940e-01,1.604421e+00,4.140629e-01,8,91,1.000000e+00,1.285930e-03,7.016065e-01,0
1.620603e-01,-6.649155e-01,-1.849135e+00,-5.235891e+00,2.500000e-03,1.878172e-01,1.309877e-01,1.574641e+00,3.832660e-01,9,87,1.000000e+00,1.360585e-03,7.125297e-01,0
1.620603e-01,-6.480487e-01,-1.766261e+00,-5.416145e+00,2.500000e-03,2.009550e-01,1.385669e-01,1.567397e+00,3.583001e-01,10,83,1.000000e+00,1.318707e-03,7.239883e-01,0
1.620603e-01,-6.341598e-01,-1.707036e+00,-5.551537e+00,2.500000e-03,2.133098e-01,1.461249e-01,1.573730e+00,3.375510e-01,11,81,1.000000e+00,1.191943e-03,7.353087e-01,0
1.620603e-01,-6.224812e-01,-1.661256e+00,-5.618278e+00,2.500000e-03,2.250978e-01,1.537569e-01,1.587961e+00,3.198268e-01,12,78,1.000000e+00,1.020685e-03,7.457183e-01,0
1.620603e-01,-6.122530e-01,-1.620697e+00,-5.613992e+00,2.500000e-03,2.366256e-01,1.615919e-01,1.606865e+00,3.041895e-01,13,76,1.000000e+00,8.373178e-04,7.547986e-01,0
1.620603e-01,-6.028080e-01,-1.578958e+00,-5.540981e+00,2.500000e-03,2.482754e-01,1.698409e-01,1.628524e+00,2.898894e-01,14,74,1.000000e+00,6.651576e-04,7.625251e-01,0
1.620603e-01,-5.936135e-01,-1.531343e+00,-5.401195e+00,2.500000e-03,2.604186e-01,1.787518e-01,1.651603e+00,2.764003e-01,15,73,1.000000e+00,5.217070e-04,7.691150e-01,0
1.620603e-01,-5.843080e-01,-1.475171e+00,-5.200526e+00,2.500000e-03,2.732827e-01,1.885100e-01,1.675060e+00,2.634779e-01,16,71,1.000000e+00,4.189043e-04,7.748938e-01,0
1.620603e-01,-5.747213e-01,-1.410124e+00,-4.956332e+00,2.500000e-03,2.868632e-01,1.991571e-01,1.698127e+00,2.511386e-01,17,70,1.000000e+00,3.597448e-04,7.802466e-01,0
1.620603e-01,-5.663093e-01,-1.371804e+00,-5.122731e+00,2.500000e-03,2.988667e-01,2.088606e-01,1.717881e+00,2.409905e-01,18,67,1.000000e+00,3.398392e-04,7.851443e-01,0
1.620603e-01,-5.593854e-01,-1.341343e+00,-5.076018e+00,2.500000e-03,3.087402e-01,2.170607e-01,1.733238e+00,2.332218e-01,19,66,1.000000e+00,3.418544e-04,7.891694e-01,0
1.620603e-01,-5.516824e-01,-1.296171e+00,-5.037484e+00,2.500000e-03,3.197054e-01,2.264043e-01,1.747842e+00,2.252532e-01,20,64,1.000000e+00,3.584052e-04,7.927243e-01,0
1.620603e-01,-5.434812e-01,-1.242007e+00,-4.893512e+00,2.500000e-03,3.314017e-01,2.366318e-01,1.761793e+00,2.173833e-01,21,65,1.000000e+00,3.849429e-04,7.961947e-01,0
1.620603e-01,-5.362970e-01,-1.203079e+00,-4.956657e+00,2.500000e-03,3.417454e-01,2.458766e-01,1.772627e+00,2.108247e-01,22,64,1.000000e+00,4.091088e-04,7.994671e-01,0
1.620603e-01,-5.280257e-01,-1.155071e+00,-5.070937e+00,2.500000e-03,3.539245e-01,2.569642e-01,1.785324e+00,2.036306e-01,23,63,1.000000e+00,4.309559e-04,8.030207e-01,0
1.620603e-01,-5.201744e-01,-1.103089e+00,-5.090898e+00,2.500000e-03,3.659341e-01,2.680607e-01,1.797876e+00,1.970592e-01,24,64,1.000000e+00,4.396475e-04,8.068930e-01,0
