time,pos_x,vel_x,acc_x,mass,dens,pres,ene,sml,id,neighbor,alpha,gradh,shockSensor,ene_floored
1.239496e-01,-7.100189e-01,-2.564511e+00,-8.065068e+00,2.500000e-03,1.367306e-01,1.066463e-01,2.186386e+00,5.431060e-01,0,134,1.000000e+00,1.946144e-03,0.000000e+00,0
1.239496e-01,-7.048385e-01,-2.541286e+00,-8.015894e+00,2.500000e-03,1.402697e-01,1.092432e-01,2.162527e+00,5.293002e-01,1,130,1.000000e+00,1.839571e-03,6.649327e-01,0
1.239496e-01,-6.980477e-01,-2.500914e+00,-7.937110e+00,2.500000e-03,1.451796e-01,1.128437e-01,2.127216e+00,5.113106e-01,2,126,1.000000e+00,1.696360e-03,6.660936e-01,0
1.239496e-01,-6.893849e-01,-2.439457e+00,-7.812876e+00,2.500000e-03,1.519004e-01,1.177639e-01,2.079661e+00,4.886234e-01,3,120,1.000000e+00,1.511673e-03,6.691619e-01,0
1.239496e-01,-6.786149e-01,-2.352863e+00,-7.622713e+00,2.500000e-03,1.609735e-01,1.243814e-01,2.020849e+00,4.610545e-01,4,113,1.000000e+00,1.290105e-03,6.743317e-01,0
1.239496e-01,-6.656223e-01,-2.238382e+00,-7.348851e+00,2.500000e-03,1.729085e-01,1.330197e-01,1.954129e+00,4.292475e-01,5,105,1.000000e+00,1.062700e-03,6.814529e-01,0
1.239496e-01,-6.506003e-01,-2.097892e+00,-7.001564e+00,2.500000e-03,1.877724e-01,1.436268e-01,1.885306e+00,3.953288e-01,6,98,1.000000e+00,9.041756e-04,6.897406e-01,0
1.239496e-01,-6.342528e-01,-1.941991e+00,-6.657730e+00,2.500000e-03,2.046690e-01,1.554263e-01,1.821968e+00,3.627738e-01,7,91,1.000000e+00,8.961587e-04,6.979947e-01,0
1.239496e-01,-6.177291e-01,-1.788989e+00,-6.444740e+00,2.500000e-03,2.220087e-01,1.672564e-01,1.771739e+00,3.345181e-01,8,87,1.000000e+00,1.022807e-03,7.056464e-01,0
1.239496e-01,-6.021582e-01,-1.655580e+00,-6.434616e+00,2.500000e-03,2.386620e-01,1.784968e-01,1.739228e+00,3.112405e-01,9,83,1.000000e+00,1.171979e-03,7.132226e-01,0
1.239496e-01,-5.882086e-01,-1.548921e+00,-6.589891e+00,2.500000e-03,2.544000e-01,1.892438e-01,1.724105e+00,2.920344e-01,10,81,1.000000e+00,1.255161e-03,7.214549e-01,0
1.239496e-01,-5.760410e-01,-1.467466e+00,-6.821015e+00,2.500000e-03,2.694273e-01,1.998077e-01,1.722629e+00,2.757780e-01,11,79,1.000000e+00,1.249497e-03,7.305148e-01,0
1.239496e-01,-5.654969e-01,-1.405593e+00,-7.049386e+00,2.500000e-03,2.839950e-01,2.104156e-01,1.730423e+00,2.616488e-01,12,78,1.000000e+00,1.168784e-03,7.400368e-01,0
1.239496e-01,-5.562779e-01,-1.356865e+00,-7.226435e+00,2.500000e-03,2.983146e-01,2.212031e-01,1.744020e+00,2.490950e-01,13,77,1.000000e+00,1.037824e-03,7.494589e-01,0
1.239496e-01,-5.480496e-01,-1.315405e+00,-7.328157e+00,2.500000e-03,3.125839e-01,2.322829e-01,1.761116e+00,2.377233e-01,14,75,1.000000e+00,8.819492e-04,7.583038e-01,0
1.239496e-01,-5.404929e-01,-1.276310e+00,-7.345164e+00,2.500000e-03,3.270083e-01,2.437874e-01,1.780288e+00,2.272353e-01,15,74,1.000000e+00,7.237492e-04,7.663032e-01,0
1.239496e-01,-5.333305e-01,-1.235769e+00,-7.276054e+00,2.500000e-03,3.417847e-01,2.558670e-01,1.800659e+00,2.174120e-01,16,73,1.000000e+00,5.817290e-04,7.733985e-01,0
