time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
9.717015e-02,-6.364875e-01,-2.053709e+00,-6.590650e+00,2.500000e-03,1.693848e-01,1.078204e-01,1.592830e+00,3.689824e-01,0,93,1.000000e+00,7.860089e-01,0.000000e+00,0
9.717015e-02,-6.363263e-01,-2.073654e+00,-6.460434e+00,2.500000e-03,1.695841e-01,1.048737e-01,1.547550e+00,3.685488e-01,1,93,1.000000e+00,7.870220e-01,7.031934e-01,0
9.717015e-02,-6.353086e-01,-2.084780e+00,-6.352849e+00,2.500000e-03,1.708509e-01,1.027401e-01,1.504892e+00,3.658160e-01,2,92,1.000000e+00,7.934167e-01,6.910646e-01,0
9.717015e-02,-6.327746e-01,-2.079997e+00,-6.285029e+00,2.500000e-03,1.740692e-01,1.021271e-01,1.468311e+00,3.590526e-01,3,90,1.000000e+00,8.092825e-01,6.808161e-01,0
9.717015e-02,-6.277976e-01,-2.048748e+00,-6.274793e+00,2.500000e-03,1.806464e-01,1.041545e-01,1.442978e+00,3.459798e-01,4,87,1.000000e+00,8.396887e-01,6.737106e-01,0
9.717015e-02,-6.188443e-01,-1.969882e+00,-6.312855e+00,2.500000e-03,1.932367e-01,1.109772e-01,1.437326e+00,3.234375e-01,5,82,1.000000e+00,8.878376e-01,6.713267e-01,0
9.717015e-02,-6.043398e-01,-1.815077e+00,-6.282154e+00,2.500000e-03,2.148809e-01,1.252408e-01,1.458615e+00,2.908588e-01,6,74,1.000000e+00,9.277038e-01,6.737595e-01,0
9.717015e-02,-5.854358e-01,-1.598455e+00,-6.205585e+00,2.500000e-03,2.427389e-01,1.451483e-01,1.496353e+00,2.574783e-01,7,68,1.000000e+00,8.927499e-01,6.772865e-01,0
9.717015e-02,-5.670878e-01,-1.410420e+00,-6.590114e+00,2.500000e-03,2.686403e-01,1.643054e-01,1.530434e+00,2.326531e-01,8,65,1.000000e+00,8.304608e-01,6.823631e-01,0
9.717015e-02,-5.525083e-01,-1.294087e+00,-7.246365e+00,2.500000e-03,2.907619e-01,1.811623e-01,1.558978e+00,2.149525e-01,9,64,1.000000e+00,8.143077e-01,6.931946e-01,0
9.717015e-02,-5.415817e-01,-1.231235e+00,-7.827403e+00,2.500000e-03,3.102352e-01,1.965723e-01,1.585331e+00,2.014601e-01,10,63,1.000000e+00,8.376562e-01,7.089026e-01,0
9.717015e-02,-5.333128e-01,-1.199535e+00,-8.251133e+00,2.500000e-03,3.276756e-01,2.109322e-01,1.610546e+00,1.907374e-01,11,62,1.000000e+00,8.797019e-01,7.258100e-01,0
9.717015e-02,-5.268083e-01,-1.183557e+00,-8.518003e+00,2.500000e-03,3.434627e-01,2.244341e-01,1.634855e+00,1.819702e-01,12,61,1.000000e+00,9.258734e-01,7.409363e-01,0
9.717015e-02,-5.213441e-01,-1.171730e+00,-8.634781e+00,2.500000e-03,3.581908e-01,2.374890e-01,1.658836e+00,1.744880e-01,13,60,1.000000e+00,9.681547e-01,7.531010e-01,0
9.717015e-02,-5.163211e-01,-1.154202e+00,-8.595655e+00,2.500000e-03,3.727256e-01,2.508037e-01,1.683558e+00,1.676837e-01,14,59,1.000000e+00,1.002341e+00,7.624328e-01,0
9.717015e-02,-5.112718e-01,-1.122990e+00,-8.376990e+00,2.500000e-03,3.879054e-01,2.651154e-01,1.710021e+00,1.611217e-01,15,58,1.000000e+00,1.024259e+00,7.695320e-01,0
9.717015e-02,-5.058794e-01,-1.073822e+00,-7.969869e+00,2.500000e-03,4.041620e-01,2.808238e-01,1.738509e+00,1.546410e-01,16,58,1.000000e+00,1.028750e+00,7.749868e-01,0
9.717015e-02,-5.000424e-01,-1.008663e+00,-7.455273e+00,2.500000e-03,4.212001e-01,2.976449e-01,1.768114e+00,1.483855e-01,17,58,1.000000e+00,1.014123e+00,7.792995e-01,0
9.717015e-02,-4.937737e-01,-9.339313e-01,-7.010210e+00,2.500000e-03,4.385639e-01,3.151187e-01,1.797791e+00,1.425106e-01,18,56,1.000000e+00,9.864670e-01,7.831046e-01,0
9.717015e-02,-4.872546e-01,-8.587864e-01,-6.806561e+00,2.500000e-03,4.558659e-01,3.328298e-01,1.826746e+00,1.371017e-01,19,53,1.000000e+00,9.562659e-01,7.870718e-01,0
9.717015e-02,-4.807795e-01,-7.918067e-01,-6.901476e+00,2.500000e-03,4.729653e-01,3.506025e-01,1.854695e+00,1.321450e-01,20,53,1.000000e+00,9.330198e-01,7.916600e-01,0
9.717015e-02,-4.745991e-01,-7.376659e-01,-7.226155e+00,2.500000e-03,4.899770e-01,3.685329e-01,1.881819e+00,1.275570e-01,21,53,1.000000e+00,9.217950e-01,7.970823e-01,0
9.717015e-02,-4.688465e-01,-6.967301e-01,-7.655349e+00,2.500000e-03,5.070632e-01,3.867816e-01,1.908391e+00,1.232588e-01,22,53,1.000000e+00,9.229231e-01,8.032919e-01,0
9.717015e-02,-4.635641e-01,-6.667574e-01,-8.072322e+00,2.500000e-03,5.242533e-01,4.053778e-01,1.934487e+00,1.192172e-01,23,53,1.000000e+00,9.338840e-01,8.100424e-01,0
9.717015e-02,-4.587275e-01,-6.442416e-01,-8.394839e+00,2.500000e-03,5.414714e-01,4.242359e-01,1.960027e+00,1.154262e-01,24,53,1.000000e+00,9.509080e-01,8.169852e-01,0
9.717015e-02,-4.542737e-01,-6.255092e-01,-8.577022e+00,2.500000e-03,5.586024e-01,4.432213e-01,1.984880e+00,1.118864e-01,25,53,1.000000e+00,9.701337e-01,8.237840e-01,0
9.717015e-02,-4.501294e-01,-6.074039e-01,-8.601415e+00,2.500000e-03,5.755107e-01,4.621696e-01,2.008886e+00,1.085992e-01,26,53,1.000000e+00,9.881055e-01,8.301716e-01,0
9.717015e-02,-4.461940e-01,-5.873187e-01,-8.473897e+00,2.500000e-03,5.921919e-01,4.810594e-01,2.032076e+00,1.055401e-01,27,52,1.000000e+00,1.002307e+00,8.360017e-01,0
9.717015e-02,-4.423776e-01,-5.635940e-01,-8.218306e+00,2.500000e-03,6.086584e-01,4.998894e-01,2.054496e+00,1.026849e-01,28,53,1.000000e+00,1.011108e+00,8.412304e-01,0
9.717015e-02,-4.386041e-01,-5.355544e-01,-7.876667e+00,2.500000e-03,6.249325e-01,5.186724e-01,2.076200e+00,1.000108e-01,29,52,1.000000e+00,1.013852e+00,8.458900e-01,0
9.717015e-02,-4.348161e-01,-5.034479e-01,-7.507763e+00,2.500000e-03,6.410383e-01,5.374262e-01,2.097249e+00,9.749807e-02,30,52,1.000000e+00,1.010902e+00,8.500654e-01,0
9.717015e-02,-4.309852e-01,-4.684495e-01,-7.181030e+00,2.500000e-03,6.569858e-01,5.561561e-01,2.117692e+00,9.513144e-02,31,51,1.000000e+00,1.003634e+00,8.538732e-01,0
9.717015e-02,-4.271142e-01,-4.324363e-01,-6.961383e+00,2.500000e-03,6.727903e-01,5.748779e-01,2.137591e+00,9.289670e-02,32,51,1.000000e+00,9.942088e-01,8.574441e-01,0
9.717015e-02,-4.232370e-01,-3.976019e-01,-6.889418e+00,2.500000e-03,6.884754e-01,5.936205e-01,2.157026e+00,9.078029e-02,33,51,1.000000e+00,9.850660e-01,8.609030e-01,0
