time,pos_x,vel_x,acc_x,mass,dens,pres,ene,sml,id,neighbor,alpha,gradh,shockSensor,ene_floored
1.942517e-01,-8.595415e-01,-2.479759e+00,-2.972453e+00,2.500000e-03,9.756534e-02,5.003452e-02,1.282140e+00,6.405963e-01,0,111,1.000000e+00,7.634187e-01,6.654196e-01,0
1.942517e-01,-8.608837e-01,-2.490776e+00,-2.898451e+00,2.500000e-03,9.702840e-02,4.823545e-02,1.242880e+00,6.441413e-01,1,112,1.000000e+00,7.587624e-01,0.000000e+00,0
1.942517e-01,-8.605791e-01,-2.494625e+00,-2.840117e+00,2.500000e-03,9.714982e-02,4.686630e-02,1.206093e+00,6.433362e-01,2,112,1.000000e+00,7.598195e-01,6.772332e-01,0
1.942517e-01,-8.573472e-01,-2.485577e+00,-2.809775e+00,2.500000e-03,9.845322e-02,4.625658e-02,1.174643e+00,6.348192e-01,3,110,1.000000e+00,7.710117e-01,6.606272e-01,0
1.942517e-01,-8.493187e-01,-2.454771e+00,-2.824132e+00,2.500000e-03,1.018066e-01,4.694964e-02,1.152973e+00,6.139092e-01,4,105,1.000000e+00,7.983361e-01,6.535186e-01,0
1.942517e-01,-8.329442e-01,-2.382255e+00,-2.904505e+00,2.500000e-03,1.091144e-01,5.016763e-02,1.149487e+00,5.727936e-01,5,96,1.000000e+00,8.484389e-01,6.528032e-01,0
1.942517e-01,-8.035698e-01,-2.234037e+00,-3.020888e+00,2.500000e-03,1.232604e-01,5.787750e-02,1.173944e+00,5.070564e-01,6,82,1.000000e+00,8.948030e-01,6.588080e-01,0
1.942517e-01,-7.636807e-01,-2.023634e+00,-3.142135e+00,2.500000e-03,1.426050e-01,6.935246e-02,1.215870e+00,4.382734e-01,7,72,1.000000e+00,8.540974e-01,6.656623e-01,0
1.942517e-01,-7.285042e-01,-1.865581e+00,-3.362387e+00,2.500000e-03,1.600036e-01,8.001407e-02,1.250248e+00,3.906163e-01,8,68,1.000000e+00,8.134566e-01,6.759198e-01,0
1.942517e-01,-7.045254e-01,-1.783830e+00,-3.539909e+00,2.500000e-03,1.738390e-01,8.866613e-02,1.275175e+00,3.595281e-01,9,66,1.000000e+00,8.324221e-01,6.948243e-01,0
1.942517e-01,-6.889968e-01,-1.746804e+00,-3.650968e+00,2.500000e-03,1.845364e-01,9.548486e-02,1.293636e+00,3.386865e-01,10,65,1.000000e+00,8.745212e-01,7.164870e-01,0
1.942517e-01,-6.786870e-01,-1.732032e+00,-3.713259e+00,2.500000e-03,1.926347e-01,1.007439e-01,1.307509e+00,3.244483e-01,11,63,1.000000e+00,9.147473e-01,7.342780e-01,0
1.942517e-01,-6.712699e-01,-1.725672e+00,-3.742172e+00,2.500000e-03,1.989784e-01,1.049642e-01,1.318853e+00,3.141044e-01,12,63,1.000000e+00,9.468207e-01,7.462244e-01,0
1.942517e-01,-6.649597e-01,-1.717463e+00,-3.748621e+00,2.500000e-03,2.046849e-01,1.088999e-01,1.330159e+00,3.053474e-01,13,62,1.000000e+00,9.731133e-01,7.533136e-01,0
1.942517e-01,-6.581464e-01,-1.697078e+00,-3.729143e+00,2.500000e-03,2.110933e-01,1.135082e-01,1.344360e+00,2.960776e-01,14,61,1.000000e+00,9.966715e-01,7.573781e-01,0
1.942517e-01,-6.493887e-01,-1.653271e+00,-3.656061e+00,2.500000e-03,2.195227e-01,1.197843e-01,1.364216e+00,2.847086e-01,15,60,1.000000e+00,1.013394e+00,7.600530e-01,0
1.942517e-01,-6.378142e-01,-1.579101e+00,-3.503467e+00,2.500000e-03,2.305498e-01,1.282237e-01,1.390484e+00,2.710911e-01,16,60,1.000000e+00,1.006075e+00,7.621346e-01,0
1.942517e-01,-6.238311e-01,-1.484545e+00,-3.366896e+00,2.500000e-03,2.431841e-01,1.381347e-01,1.420134e+00,2.570070e-01,17,60,1.000000e+00,9.657232e-01,7.638998e-01,0
1.942517e-01,-6.091624e-01,-1.395829e+00,-3.415457e+00,2.500000e-03,2.558777e-01,1.483226e-01,1.449226e+00,2.442573e-01,18,56,1.000000e+00,9.203591e-01,7.666327e-01,0
1.942517e-01,-5.955276e-01,-1.330310e+00,-3.624210e+00,2.500000e-03,2.680816e-01,1.583212e-01,1.476498e+00,2.331380e-01,19,55,1.000000e+00,8.968269e-01,7.717917e-01,0
1.942517e-01,-5.837758e-01,-1.288667e+00,-3.862454e+00,2.500000e-03,2.797125e-01,1.680265e-01,1.501848e+00,2.234437e-01,20,56,1.000000e+00,8.978688e-01,7.794275e-01,0
1.942517e-01,-5.739891e-01,-1.264180e+00,-4.051313e+00,2.500000e-03,2.906345e-01,1.772899e-01,1.525093e+00,2.150467e-01,21,55,1.000000e+00,9.149724e-01,7.884756e-01,0
1.942517e-01,-5.658395e-01,-1.249402e+00,-4.170424e+00,2.500000e-03,3.007673e-01,1.860092e-01,1.546192e+00,2.078019e-01,22,55,1.000000e+00,9.390345e-01,7.975583e-01,0
1.942517e-01,-5.588524e-01,-1.238129e+00,-4.223653e+00,2.500000e-03,3.102246e-01,1.942539e-01,1.565500e+00,2.014670e-01,23,55,1.000000e+00,9.639049e-01,8.056765e-01,0
1.942517e-01,-5.525393e-01,-1.225371e+00,-4.218243e+00,2.500000e-03,3.193066e-01,2.022670e-01,1.583715e+00,1.957366e-01,24,55,1.000000e+00,9.861267e-01,8.123946e-01,0
1.942517e-01,-5.464354e-01,-1.207086e+00,-4.158042e+00,2.500000e-03,3.284353e-01,2.104146e-01,1.601718e+00,1.902962e-01,25,55,1.000000e+00,1.003568e+00,8.177327e-01,0
1.942517e-01,-5.401552e-01,-1.180264e+00,-4.045205e+00,2.500000e-03,3.379935e-01,2.190443e-01,1.620257e+00,1.849148e-01,26,54,1.000000e+00,1.013809e+00,8.219441e-01,0
1.942517e-01,-5.334310e-01,-1.143663e+00,-3.892963e+00,2.500000e-03,3.481854e-01,2.283555e-01,1.639689e+00,1.795021e-01,27,55,1.000000e+00,1.013994e+00,8.253409e-01,0
1.942517e-01,-5.261814e-01,-1.099003e+00,-3.743399e+00,2.500000e-03,3.589294e-01,2.382910e-01,1.659813e+00,1.741290e-01,28,54,1.000000e+00,1.003072e+00,8.282322e-01,0
1.942517e-01,-5.185109e-01,-1.051032e+00,-3.661538e+00,2.500000e-03,3.699871e-01,2.486421e-01,1.680152e+00,1.689248e-01,29,54,1.000000e+00,9.846446e-01,8.309613e-01,0
1.942517e-01,-5.106870e-01,-1.005961e+00,-3.693061e+00,2.500000e-03,3.811371e-01,2.592053e-01,1.700289e+00,1.639830e-01,30,54,1.000000e+00,9.662153e-01,8.339115e-01,0
1.942517e-01,-5.030340e-01,-9.685778e-01,-3.825856e+00,2.500000e-03,3.922676e-01,2.698725e-01,1.720030e+00,1.593300e-01,31,53,1.000000e+00,9.544724e-01,8.373913e-01,0
1.942517e-01,-4.958259e-01,-9.405328e-01,-4.003101e+00,2.500000e-03,4.032909e-01,2.805548e-01,1.739237e+00,1.549750e-01,32,52,1.000000e+00,9.519355e-01,8.414826e-01,0
1.942517e-01,-4.892016e-01,-9.205576e-01,-4.165589e+00,2.500000e-03,4.141048e-01,2.911461e-01,1.757761e+00,1.509280e-01,33,52,1.000000e+00,9.573519e-01,8.460209e-01,0
1.942517e-01,-4.831709e-01,-9.058913e-01,-4.276902e+00,2.500000e-03,4.246114e-01,3.015412e-01,1.775472e+00,1.471934e-01,34,52,1.000000e+00,9.677386e-01,8.507000e-01,0
1.942517e-01,-4.776393e-01,-8.934347e-01,-4.324330e+00,2.500000e-03,4.347936e-01,3.117131e-01,1.792383e+00,1.437464e-01,35,52,1.000000e+00,9.800316e-01,8.552088e-01,0
1.942517e-01,-4.724634e-01,-8.804573e-01,-4.309442e+00,2.500000e-03,4.447162e-01,3.217177e-01,1.808636e+00,1.405391e-01,36,52,1.000000e+00,9.917722e-01,8.593224e-01,0
1.942517e-01,-4.674839e-01,-8.648578e-01,-4.240903e+00,2.500000e-03,4.545056e-01,3.316765e-01,1.824463e+00,1.375120e-01,37,52,1.000000e+00,1.001149e+00,8.629325e-01,0
1.942517e-01,-4.625514e-01,-8.452952e-01,-4.132315e+00,2.500000e-03,4.643030e-01,3.417307e-01,1.840105e+00,1.346104e-01,38,52,1.000000e+00,1.006817e+00,8.660304e-01,0
1.942517e-01,-4.575585e-01,-8.214129e-01,-4.004517e+00,2.500000e-03,4.741938e-01,3.519681e-01,1.855701e+00,1.318026e-01,39,52,1.000000e+00,1.007889e+00,8.686715e-01,0
1.942517e-01,-4.524424e-01,-7.938843e-01,-3.887010e+00,2.500000e-03,4.842103e-01,3.624236e-01,1.871301e+00,1.290761e-01,40,52,1.000000e+00,1.004262e+00,8.709484e-01,0
1.942517e-01,-4.471971e-01,-7.643693e-01,-3.813718e+00,2.500000e-03,4.943376e-01,3.730830e-01,1.886877e+00,1.264318e-01,41,52,1.000000e+00,9.969750e-01,8.729763e-01,0
1.942517e-01,-4.418708e-01,-7.351433e-01,-3.810977e+00,2.500000e-03,5.045443e-01,3.839140e-01,1.902378e+00,1.238742e-01,42,52,1.000000e+00,9.881745e-01,8.748822e-01,0
1.942517e-01,-4.365482e-01,-7.084013e-01,-3.884218e+00,2.500000e-03,5.148107e-01,3.948956e-01,1.917774e+00,1.214039e-01,43,52,1.000000e+00,9.804013e-01,8.767874e-01,0
1.942517e-01,-4.313314e-01,-6.856249e-01,-4.014202e+00,2.500000e-03,5.251081e-01,4.059969e-01,1.933024e+00,1.190231e-01,44,52,1.000000e+00,9.756197e-01,8.787791e-01,0
